#Time (s),Channel 1 (V),Channel 2 (V)
-7.92e-05,0.2449888809298369,0.1220171678498276
-7.918e-05,0.2510228380124995,0.1254153736562796
-7.915999999999999e-05,0.2553806959055335,0.1288135794627317
-7.913999999999999e-05,0.2630907521778275,0.1318719646885396
-7.912e-05,0.2697951489363352,0.1342507087530539
-7.91e-05,0.2758291060190008,0.1373090939788618
-7.908e-05,0.2811926234258119,0.1407072997853138
-7.905999999999999e-05,0.2872265805084772,0.1437656850111219
-7.904e-05,0.2935957574290596,0.1464842496562811
-7.902e-05,0.3009705938634277,0.1505620966240248
-7.9e-05,0.3056636715943875,0.1532806612691864
-7.897999999999999e-05,0.3116976286770499,0.154300123011122
-7.896e-05,0.3173963659217841,0.1580381493982176
-7.894e-05,0.3230951031665235,0.1614363552046713
-7.892e-05,0.3308051594388144,0.1648345610111234
-7.889999999999999e-05,0.3365038966835512,0.1672133050756398
-7.887999999999999e-05,0.3411969744145141,0.1709513314627383
-7.886e-05,0.3482365910109505,0.1736698961078987
-7.884e-05,0.3542705480936129,0.1777477430756411
-7.881999999999999e-05,0.3599692853383497,0.1801264871401576
-7.879999999999999e-05,0.3646623630693128,0.1814857694627403
-7.878e-05,0.3720371995036746,0.1855636164304809
-7.876e-05,0.3767302772346344,0.1886220016562877
-7.873999999999999e-05,0.3830994541552226,0.1920202074627398
-7.871999999999999e-05,0.3881277517241104,0.193719310365967
-7.87e-05,0.3934912691309166,0.1964378750111262
-7.868e-05,0.40120132540321,0.199156439656289
-7.866e-05,0.4069000626479468,0.2028944660433863
-7.863999999999999e-05,0.4125987998926836,0.2059528512691932
-7.862e-05,0.4169566577857156,0.2079917747530635
-7.86e-05,0.4243314942200829,0.212409442301452
-7.858e-05,0.4290245719510425,0.2147881863659685
-7.855999999999999e-05,0.4357289687095565,0.2164872892691945
-7.853999999999999e-05,0.4414277059542958,0.2202253156562933
-7.852e-05,0.4471264431990299,0.2236235214627438
-7.85e-05,0.4534956201196182,0.2266819066885506
-7.847999999999999e-05,0.4585239176885035,0.2290606507530671
-7.845999999999999e-05,0.4632169954194661,0.2321190359788755
-7.844e-05,0.4695861723400514,0.235517241785326
-7.842e-05,0.4749496897468625,0.2375561652691972
-7.839999999999999e-05,0.4796427674778222,0.2399349093337136
-7.837999999999999e-05,0.4840006253708589,0.242313653398231
-7.836e-05,0.490034582453516,0.2443525768821004
-7.834e-05,0.4967389792120326,0.2484304238498437
-7.832e-05,0.5024377164567694,0.2501295267530698
-7.829999999999999e-05,0.5081364537015061,0.2525082708175862
-7.828e-05,0.5128295314324637,0.2562462972046818
-7.826e-05,0.5188634885151283,0.2586250412691999
-7.824e-05,0.5232213464081623,0.2620232470756519
-7.821999999999999e-05,0.5292553034908248,0.2640621705595232
-7.82e-05,0.5339483812217823,0.2661010940433935
-7.818e-05,0.5393118986285956,0.2701789410111368
-7.816e-05,0.544340196197481,0.2718780439143629
-7.813999999999999e-05,0.5500389334422178,0.2745966085595245
-7.811999999999999e-05,0.5543967913352543,0.2779948143659777
-7.81e-05,0.5600955285799886,0.2807133790111382
-7.808e-05,0.5678055848522795,0.2834319436562999
-7.805999999999999e-05,0.5718282229073879,0.2851310465595258
-7.803999999999999e-05,0.5785326196659031,0.288189431785334
-7.802e-05,0.5815495982072316,0.2909079964304931
-7.8e-05,0.5875835552898954,0.293626561075656
-7.798e-05,0.5909357536691523,0.295325663978882
-7.795999999999999e-05,0.5983105901035188,0.2977044080433997
-7.794e-05,0.6009923488069219,0.3004229726885589
-7.792e-05,0.6063558662137343,0.3034813579143669
-7.79e-05,0.6097080645929912,0.3058601019788834
-7.787999999999999e-05,0.6180885605411335,0.3082388460433998
-7.786e-05,0.6231168581100166,0.3123166930111405
-7.784e-05,0.6268042763272015,0.3133361547530779
-7.782e-05,0.632838233409864,0.3146954370756587
-7.779999999999999e-05,0.6351847722753439,0.3170741811401752
-7.777999999999999e-05,0.6408835095200823,0.3208122075272733
-7.776e-05,0.6445709277372632,0.3228511310111436
-7.774e-05,0.650269664982,0.3242104133337244
-7.771999999999999e-05,0.6539570831991827,0.3272687985595313
-7.769999999999999e-05,0.6599910402818484,0.3303271837853393
-7.768e-05,0.6670306568782814,0.3330457484304985
-7.766e-05,0.6677010965541361,0.335084671914371
-7.764e-05,0.6740702734747243,0.3364439542369518
-7.761999999999999e-05,0.6794337908815362,0.3391625188821144
-7.76e-05,0.6814451099090886,0.3412014423659837
-7.758e-05,0.6888199463434548,0.3442598275917915
-7.756e-05,0.691836924884786,0.3459589304950175
-7.753999999999999e-05,0.6988765414812256,0.3483376745595339
-7.752e-05,0.7015583001846299,0.3503765980434042
-7.75e-05,0.7055809382397394,0.3524155215272764
-7.748e-05,0.711614895322402,0.3554739067530832
-7.745999999999999e-05,0.715972753215436,0.3588721125595353
-7.743999999999999e-05,0.7193249515946949,0.3592119331401817
-7.742e-05,0.7236828094877269,0.3619304977853421
-7.74e-05,0.730051986408315,0.3643092418498586
-7.737999999999999e-05,0.7340746244634233,0.3653287035917941
-7.735999999999999e-05,0.7367563831668312,0.3690667299788927
-7.734e-05,0.741784680735712,0.3717852946240519
-7.732e-05,0.7458073187908226,0.3734843975272791
-7.73e-05,0.7505003965217824,0.3745038592692147
-7.727999999999999e-05,0.7538525949010411,0.3765427827530873
-7.726e-05,0.7578752329561458,0.3796011679788914
-7.724e-05,0.7635739702008844,0.3809604503014736
-7.722e-05,0.7679318280939184,0.3840188355272804
-7.719999999999999e-05,0.7719544661490267,0.3853781178498613
-7.718e-05,0.7753066645282821,0.3884365030756667
-7.716e-05,0.7789940827454662,0.3904754265595394
-7.714e-05,0.7823462811247232,0.3914948883014749
-7.711999999999999e-05,0.7867041390177572,0.3928541706240558
-7.709999999999999e-05,0.7920676564245696,0.3948930941079283
-7.708e-05,0.7947494151279738,0.3976116587530887
-7.706e-05,0.797766393669305,0.3986311204950242
-7.703999999999999e-05,0.8017890317244134,0.4006700439788955
-7.701999999999999e-05,0.8061468896174491,0.4027089674627677
-7.7e-05,0.8098343078346284,0.404747890946637
-7.698e-05,0.8135217260518126,0.4071266350111544
-7.695999999999999e-05,0.8165387045931439,0.4071266350111544
-7.693999999999999e-05,0.8202261228103283,0.4095053790756718
-7.692e-05,0.8242487608654331,0.4115443025595411
-7.69e-05,0.8279361790826174,0.4125637643014777
-7.688e-05,0.8319588171377258,0.4146026877853489
-7.685999999999999e-05,0.834975795679057,0.4169814318498654
-7.684e-05,0.8389984337341636,0.4186805347530905
-7.682e-05,0.8426858519513479,0.4200398170756722
-7.68e-05,0.8450323908168278,0.4224185611401886
-7.677999999999999e-05,0.8470437098443819,0.4234380228821242
-7.675999999999999e-05,0.8520720074132689,0.425476946365996
-7.674e-05,0.8554242057925243,0.4268362286885763
-7.672e-05,0.8577707446580042,0.428195511011157
-7.669999999999999e-05,0.8624638223889639,0.4302344344950283
-7.667999999999999e-05,0.8654808009302962,0.4319335373982554
-7.666e-05,0.867827339795775,0.4343122814627708
