Time (s),Channel 1 (V),Channel 2 (V)
-0.00053235,-0.0002860352496972703,-0.0007243024430577802
-0.00053222,5.23893454732518e-05,-5.526111886421076e-05
-0.00053209,-0.0002860352496972703,-5.526111886421076e-05
-0.0005319600000000001,5.23893454732518e-05,-0.0003897817809609955
-0.0005318300000000001,5.23893454732518e-05,-0.000724302443057628
-0.0005317000000000001,5.23893454732518e-05,-0.0007243024430577802
-0.00053157,0.00039081394064362,-5.526111886421076e-05
-0.00053144,5.23893454737135e-05,-5.526111886436288e-05
-0.00053131,0.001067663130984818,-0.0003897817809609955
-0.00053118,0.0007292385358142958,-0.0007243024430577802
-0.00053105,0.0003908139406437739,-0.0007243024430577802
-0.00053092,0.0007292385358142958,-0.0007243024430577802
-0.0005307900000000001,5.23893454732518e-05,-0.0007243024430577802
-0.0005306600000000001,0.001067663130984356,-0.0007243024430577802
-0.0005305300000000001,0.001067663130984818,-0.0007243024430577802
-0.0005304,0.001406087726155032,-0.0007243024430579323
-0.00053027,0.0007292385358142958,-0.001058823105154565
-0.00053014,0.001067663130984818,-0.0003897817809609955
-0.00053001,0.0007292385358142958,-0.0007243024430577802
-0.00052988,5.23893454732518e-05,-0.0003897817809609955
-0.0005297500000000001,0.0003908139406437739,-0.0003897817809609955
-0.0005296200000000001,5.23893454734057e-05,-0.000724302443057628
-0.0005294900000000001,0.00039081394064362,-0.0003897817809611476
-0.00052936,0.0003908139406439278,-0.0003897817809611476
-0.00052923,0.0007292385358135264,-0.000724302443057628
-0.0005291,-0.0009628844400383144,-0.0003897817809609955
-0.00052897,-0.0002860352496972703,-0.0003897817809609955
-0.00052884,-0.0002860352496972703,0.000279259543232574
-0.0005287100000000001,-0.0006244598448677923,-0.0003897817809609955
-0.0005285800000000001,-0.0002860352496974242,-0.0003897817809609955
-0.0005284500000000001,0.0003908139406434661,-0.0003897817809609955
-0.00052832,5.23893454734057e-05,-0.0003897817809612997
-0.00052819,0.00039081394064362,-0.001058823105154261
-0.00052806,5.23893454732518e-05,-0.0003897817809609955
-0.00052793,5.23893454732518e-05,-0.0007243024430577802
-0.0005278,-0.0006244598448677923,-0.001058823105154565
-0.00052767,-0.0009628844400383144,-0.0007243024430577802
-0.0005275400000000001,-0.001301309035208836,-0.0007243024430577802
-0.0005274100000000001,-0.0006244598448681001,-0.0007243024430577802
-0.00052728,-0.0002860352496974242,-0.001058823105154565
-0.00052715,-0.0006244598448677923,-0.001058823105154565
-0.00052702,-0.0006244598448677923,-0.001058823105154565
-0.00052689,-0.0002860352496972703,-0.001058823105154565
-0.00052676,-0.0002860352496972703,-0.0003897817809609955
-0.00052663,5.23893454732518e-05,-0.001058823105154565
-0.0005265000000000001,5.23893454732518e-05,-0.0007243024430577802
-0.0005263700000000001,5.23893454732518e-05,-0.0007243024430577802
-0.0005262400000000001,-0.0006244598448674845,-0.0007243024430577802
-0.00052611,-0.0002860352496975781,-0.0003897817809609955
-0.00052598,-0.0009628844400378527,-0.0003897817809611476
-0.00052585,5.23893454732518e-05,-0.0007243024430577802
-0.00052572,5.23893454732518e-05,-5.526111886421076e-05
-0.00052559,5.23893454732518e-05,-5.526111886421076e-05
-0.0005254600000000001,-0.0002860352496972703,-0.0003897817809609955
-0.0005253300000000001,-0.0002860352496972703,0.0002792595432322697
-0.0005252000000000001,5.23893454730979e-05,-0.0003897817809606913
-0.00052507,0.0003908139406434661,-0.0003897817809608434
-0.00052494,-0.0002860352496971164,-5.526111886466713e-05
-0.00052481,5.23893454732518e-05,-0.001058823105154565
-0.00052468,-0.0002860352496972703,-0.00139334376725135
-0.00052455,-0.0002860352496972703,-0.0007243024430577802
-0.0005244200000000001,0.0007292385358142958,-0.0007243024430577802
-0.0005242900000000001,5.238934547355961e-05,-0.0007243024430577802
-0.0005241600000000001,5.23893454732518e-05,-0.0007243024430577802
-0.00052403,-0.0002860352496974242,-0.000724302443057628
-0.0005239,-0.0006244598448676385,-0.0003897817809609955
-0.00052377,-0.0002860352496972703,-0.0003897817809609955
-0.00052364,-0.0002860352496972703,-0.0003897817809609955
-0.00052351,-0.0002860352496972703,-0.0003897817809609955
-0.00052338,5.23893454732518e-05,-0.0003897817809609955
-0.0005232500000000001,5.23893454732518e-05,-0.0003897817809609955
-0.0005231200000000001,5.23893454732518e-05,-0.000724302443057628
-0.0005229900000000001,0.000729238535813988,-5.526111886451504e-05
-0.00052286,-0.0002860352496969625,-5.526111886436288e-05
-0.00052273,0.0003908139406437739,-0.0003897817809609955
-0.0005226,0.0007292385358142958,-5.526111886421076e-05
-0.00052247,0.0007292385358142958,-5.526111886421076e-05
-0.00052234,0.0003908139406437739,-5.526111886421076e-05
-0.0005222100000000001,-0.0002860352496972703,0.000279259543232574
-0.0005220800000000001,0.0003908139406434661,-5.526111886405865e-05
-0.0005219500000000001,5.23893454734057e-05,-0.0003897817809608434
-0.00052182,5.23893454734057e-05,0.000279259543232574
-0.00052169,0.00039081394064362,0.000279259543232574
-0.00052156,5.23893454732518e-05,0.000279259543232574
-0.00052143,5.23893454732518e-05,-5.526111886421076e-05
-0.0005213,5.23893454732518e-05,0.000279259543232574
-0.0005211700000000001,-0.0002860352496972703,-5.526111886421076e-05
-0.0005210400000000001,0.0003908139406434661,-0.0003897817809608434
